sep=,
Subject,Task,ST,STlanguage,TTlanguage,MicroUnitId,LinearRep,Pause,PauseType,Start,End,DurationM,DurationT,FixCountS,FixDurationS,MeanDurationS,FixCountT,FixDurationT,MeanDurationT,FixCountST,FixDurationST,MeanDurationST,FixCountSPause,FixDurationSPause,MeanDurationSPause,FixCountTPause,FixDurationTPause,MeanDurationTPause,FixCountSTPause,FixDurationSTPause,MeanDurationSTPause,Visits,VisitsPause,Saccade,SacaddeAngle,SaccadeSum,SaccadeMean,SaccadePause,SaccadeAnglePause,SaccadeSumPause,SaccadeMeanPause,ins,del
P10_T2,translating,Osbrasileiros,pt,zh,14,,3619,null,91166,91585,419,0,1,416,416.0,0,0,0.0,1,416,416.0,1,416,416.0,0,0,0.0,1,416,416.0,0,null,1577.716070780798,null,1577.716070780798,19.721450884759975,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,15,,3619,null,91586,91649,63,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,16,,3619,null,91650,91960,310,0,1,324,324.0,0,0,0.0,1,324,324.0,1,324,324.0,0,0,0.0,1,324,324.0,0,null,1152.000434027696,null,1152.000434027696,14.22222758058884,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,17,,3619,null,91961,91961,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,18,,3619,null,91962,92537,575,0,1,575,575.0,0,0,0.0,1,575,575.0,1,575,575.0,0,0,0.0,1,575,575.0,0,null,80.00624975587844,null,80.00624975587844,0.975685972632664,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,19,,3619,null,92538,92600,62,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,20,,3619,null,92601,92802,201,0,0,0,0.0,1,200,200.0,1,200,200.0,0,0,0.0,1,200,200.0,1,200,200.0,0,null,200.63897926375125,null,200.63897926375125,2.417337099563268,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,21,,3619,null,92803,92803,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,22,,3619,null,92804,93020,216,0,0,0,0.0,1,225,225.0,1,225,225.0,0,0,0.0,1,225,225.0,1,225,225.0,0,null,223.00672635595546,null,223.00672635595546,2.654841980428041,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,23,,3619,null,93021,93021,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
